ENSEMBL_GENE_ID	Name	Species
ENSG00000217128	folliculin interacting protein 1	Homo sapiens
ENSG00000092068	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	Homo sapiens
ENSG00000100346	calcium channel, voltage-dependent, T type, alpha 1I subunit	Homo sapiens
ENSG00000113389	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	Homo sapiens
ENSG00000112769	laminin, alpha 4	Homo sapiens
ENSG00000116852	kinesin family member 21B	Homo sapiens
ENSG00000156299	T-cell lymphoma invasion and metastasis 1	Homo sapiens
ENSG00000115548	lysine (K)-specific demethylase 3A	Homo sapiens
ENSG00000051108	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	Homo sapiens
ENSG00000206120	chromosome 3 open reading frame 50	Homo sapiens
ENSG00000170873	metastasis suppressor 1	Homo sapiens
ENSG00000198829	succinate receptor 1	Homo sapiens
ENSG00000155324	GRAM domain containing 3	Homo sapiens
ENSG00000180901	potassium channel tetramerisation domain containing 2	Homo sapiens
ENSG00000188343	family with sequence similarity 92, member A2; family with sequence similarity 92, member A1	Homo sapiens
ENSG00000159110	interferon (alpha, beta and omega) receptor 2	Homo sapiens
ENSG00000180596	histone cluster 1, H2bi; histone cluster 1, H2bg; histone cluster 1, H2be; histone cluster 1, H2bf; histone cluster 1, H2bc	Homo sapiens
ENSG00000137878	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1B; glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A; GRINL1A complex locus	Homo sapiens
ENSG00000188517	collagen, type XXV, alpha 1	Homo sapiens
ENSG00000173200	poly (ADP-ribose) polymerase family, member 15	Homo sapiens
ENSG00000105221	v-akt murine thymoma viral oncogene homolog 2	Homo sapiens
ENSG00000131748	StAR-related lipid transfer (START) domain containing 3	Homo sapiens
ENSG00000186766	forkhead box I2	Homo sapiens
ENSG00000136436	calcium binding and coiled-coil domain 2	Homo sapiens
ENSG00000184040	family with sequence similarity 23, member B	Homo sapiens
ENSG00000116285	ERBB receptor feedback inhibitor 1	Homo sapiens
ENSG00000100505	tripartite motif-containing 9	Homo sapiens
ENSG00000108846	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	Homo sapiens
ENSG00000174145	KIAA1239	Homo sapiens
ENSG00000053438	neuronatin	Homo sapiens
ENSG00000135622	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F	Homo sapiens
ENSG00000111432	frizzled homolog 10 (Drosophila)	Homo sapiens
ENSG00000120899	PTK2B protein tyrosine kinase 2 beta	Homo sapiens
ENSG00000198586	tousled-like kinase 1	Homo sapiens
ENSG00000198739	leucine rich repeat transmembrane neuronal 3	Homo sapiens
ENSG00000197301	hypothetical LOC100129940	Homo sapiens
ENSG00000163406	solute carrier family 15 (H+/peptide transporter), member 2	Homo sapiens
ENSG00000163519	T cell receptor associated transmembrane adaptor 1	Homo sapiens
ENSG00000186654	Rho GTPase activating protein 8; proline rich 5 (renal); PRR5-ARHGAP8 fusion	Homo sapiens
ENSG00000099337	potassium channel, subfamily K, member 6	Homo sapiens
ENSG00000129214	sex hormone-binding globulin	Homo sapiens
ENSG00000118777	ATP-binding cassette, sub-family G (WHITE), member 2	Homo sapiens
ENSG00000047346	KIAA1370	Homo sapiens
ENSG00000078579	fibroblast growth factor 20	Homo sapiens
ENSG00000070159	protein tyrosine phosphatase, non-receptor type 3	Homo sapiens
ENSG00000108947	ephrin-B3	Homo sapiens
ENSG00000121848	ring finger protein 115	Homo sapiens
ENSG00000117600	plasticity related gene 1	Homo sapiens
ENSG00000090530	leprecan-like 1	Homo sapiens
ENSG00000124198	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	Homo sapiens
ENSG00000159753	RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing	Homo sapiens
ENSG00000006747	scinderin	Homo sapiens
ENSG00000177182	retinaldehyde binding protein 1-like 1	Homo sapiens
ENSG00000141506	phosphoinositide-3-kinase, regulatory subunit 5	Homo sapiens
ENSG00000125648	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23	Homo sapiens
